Sep  6, 2018 10:35:24.372290151 CEST,Apple_c8:fc:96,60:f8:1d:c8:fc:96,-92,
Sep  6, 2018 10:35:25.646488910 CEST,22:bd:34:58:e6:f7,22:bd:34:58:e6:f7,-81,
Sep  6, 2018 10:35:26.309949089 CEST,Apple_b6:b2:bd,98:01:a7:b6:b2:bd,-36,wlan_saltuaria
Sep  6, 2018 10:35:26.424667275 CEST,Apple_b6:b2:bd,98:01:a7:b6:b2:bd,-35,wlan_saltuaria
Sep  6, 2018 10:35:26.536071821 CEST,Apple_b6:b2:bd,98:01:a7:b6:b2:bd,-38,wlan_saltuaria
Sep  6, 2018 10:35:26.573503853 CEST,Apple_b6:b2:bd,98:01:a7:b6:b2:bd,-37,wlan_saltuaria
Sep  6, 2018 10:35:27.063946085 CEST,Apple_b6:b2:bd,98:01:a7:b6:b2:bd,-83,wlan_saltuaria
Sep  6, 2018 10:35:27.544587961 CEST,Apple_c9:0d:55,f4:5c:89:c9:0d:55,-71,wlan_saltuaria
Sep  6, 2018 10:35:27.652797955 CEST,Apple_c9:0d:55,f4:5c:89:c9:0d:55,-70,wlan_saltuaria
Sep  6, 2018 10:35:27.766779773 CEST,Apple_c9:0d:55,f4:5c:89:c9:0d:55,-71,wlan_saltuaria
Sep  6, 2018 10:35:27.781272573 CEST,Apple_c9:0d:55,f4:5c:89:c9:0d:55,-70,wlan_saltuaria
Sep  6, 2018 10:35:28.025050184 CEST,Apple_c8:fc:96,60:f8:1d:c8:fc:96,-87,
Sep  6, 2018 10:35:28.054490430 CEST,Apple_c8:fc:96,60:f8:1d:c8:fc:96,-88,
Sep  6, 2018 10:35:32.764205666 CEST,HonHaiPr_e3:83:0b,44:1c:a8:e3:83:0b,-96,
