Sep  5, 2018 18:10:00.216114610 CEST|SamsungE_ba:e1:de|24:92:0e:ba:e1:de|-53|
Sep  5, 2018 18:10:00.258628708 CEST|SamsungE_ba:e1:de|24:92:0e:ba:e1:de|-55|
Sep  5, 2018 18:10:00.299816008 CEST|SamsungE_ba:e1:de|24:92:0e:ba:e1:de|-55|
Sep  5, 2018 18:10:00.341879541 CEST|SamsungE_ba:e1:de|24:92:0e:ba:e1:de|-60|
Sep  5, 2018 18:10:00.422069864 CEST|f6:fb:2f:5b:5c:1e|f6:fb:2f:5b:5c:1e|-62|
Sep  5, 2018 18:10:00.960826880 CEST|LiteonTe_93:fd:46|18:cf:5e:93:fd:46|-56|
Sep  5, 2018 18:10:01.007341942 CEST|LiteonTe_93:fd:46|18:cf:5e:93:fd:46|-61|
Sep  5, 2018 18:10:01.054174156 CEST|LiteonTe_93:fd:46|18:cf:5e:93:fd:46|-69|
Sep  5, 2018 18:10:01.083024274 CEST|SamsungE_7d:28:69|ec:9b:f3:7d:28:69|-77|vodafone-61645685
Sep  5, 2018 18:10:01.083550430 CEST|SamsungE_7d:28:69|ec:9b:f3:7d:28:69|-75|
Sep  5, 2018 18:10:01.136153090 CEST|SamsungE_7d:28:69|ec:9b:f3:7d:28:69|-79|vodafone-61645685
Sep  5, 2018 18:10:01.138006431 CEST|SamsungE_7d:28:69|ec:9b:f3:7d:28:69|-81|
Sep  5, 2018 18:10:01.206024114 CEST|SamsungE_7d:28:69|ec:9b:f3:7d:28:69|-81|vodafone-61645685
Sep  5, 2018 18:10:01.208007467 CEST|SamsungE_7d:28:69|ec:9b:f3:7d:28:69|-80|
Sep  5, 2018 18:10:01.260353217 CEST|SamsungE_7d:28:69|ec:9b:f3:7d:28:69|-78|vodafone-61645685
Sep  5, 2018 18:10:01.262620568 CEST|SamsungE_7d:28:69|ec:9b:f3:7d:28:69|-85|
Sep  5, 2018 18:10:02.035430418 CEST|HuaweiTe_0e:59:1a|24:00:ba:0e:59:1a|-45|
Sep  5, 2018 18:10:02.076767220 CEST|HuaweiTe_0e:59:1a|24:00:ba:0e:59:1a|-49|
Sep  5, 2018 18:10:02.711400802 CEST|02:a1:4f:0f:01:47|02:a1:4f:0f:01:47|-88|
Sep  5, 2018 18:10:02.751577353 CEST|02:a1:4f:0f:01:47|02:a1:4f:0f:01:47|-95|
Sep  5, 2018 18:10:02.875628785 CEST|4a:d2:9d:78:a2:8e|4a:d2:9d:78:a2:8e|-53|
Sep  5, 2018 18:10:03.617573221 CEST|Google_b0:09:5a|da:a1:19:b0:09:5a|-94|
Sep  5, 2018 18:10:03.880428370 CEST|b2:81:52:37:40:03|b2:81:52:37:40:03|-66|
Sep  5, 2018 18:10:03.979150938 CEST|b2:48:b7:62:7d:92|b2:48:b7:62:7d:92|-77|
Sep  5, 2018 18:10:04.000160519 CEST|b2:48:b7:62:7d:92|b2:48:b7:62:7d:92|-76|
Sep  5, 2018 18:10:04.038591970 CEST|b2:48:b7:62:7d:92|b2:48:b7:62:7d:92|-83|
Sep  5, 2018 18:10:04.042699139 CEST|b2:48:b7:62:7d:92|b2:48:b7:62:7d:92|-83|
Sep  5, 2018 18:10:04.071493193 CEST|HuaweiTe_df:a1:6b|14:a5:1a:df:a1:6b|-63|
Sep  5, 2018 18:10:04.090991125 CEST|HuaweiTe_df:a1:6b|14:a5:1a:df:a1:6b|-65|
Sep  5, 2018 18:10:04.112083465 CEST|HuaweiTe_df:a1:6b|14:a5:1a:df:a1:6b|-69|
Sep  5, 2018 18:10:04.136473398 CEST|HuaweiTe_df:a1:6b|14:a5:1a:df:a1:6b|-72|
Sep  5, 2018 18:10:04.361776684 CEST|Google_3e:74:db|da:a1:19:3e:74:db|-60|Jointly
Sep  5, 2018 18:10:04.363897975 CEST|Google_3e:74:db|da:a1:19:3e:74:db|-58|
Sep  5, 2018 18:10:04.424152701 CEST|Google_3e:74:db|da:a1:19:3e:74:db|-65|Jointly
Sep  5, 2018 18:10:04.425569531 CEST|Google_3e:74:db|da:a1:19:3e:74:db|-66|
Sep  5, 2018 18:10:04.493304898 CEST|06:94:ab:56:02:b6|06:94:ab:56:02:b6|-63|
Sep  5, 2018 18:10:04.516897344 CEST|06:94:ab:56:02:b6|06:94:ab:56:02:b6|-63|
Sep  5, 2018 18:10:04.631696027 CEST|SamsungE_92:e6:8d|a4:6c:f1:92:e6:8d|-41|
Sep  5, 2018 18:10:04.672191883 CEST|SamsungE_92:e6:8d|a4:6c:f1:92:e6:8d|-41|
Sep  5, 2018 18:10:04.714075682 CEST|SamsungE_92:e6:8d|a4:6c:f1:92:e6:8d|-42|
Sep  5, 2018 18:10:04.763176621 CEST|SamsungE_92:e6:8d|a4:6c:f1:92:e6:8d|-42|
Sep  5, 2018 18:10:04.919985012 CEST|02:a9:2d:41:f4:a6|02:a9:2d:41:f4:a6|-47|
Sep  5, 2018 18:10:04.941438780 CEST|02:a9:2d:41:f4:a6|02:a9:2d:41:f4:a6|-50|
Sep  5, 2018 18:10:04.963623226 CEST|02:a9:2d:41:f4:a6|02:a9:2d:41:f4:a6|-52|
Sep  5, 2018 18:10:04.984183010 CEST|02:a9:2d:41:f4:a6|02:a9:2d:41:f4:a6|-53|
Sep  5, 2018 18:10:05.081935630 CEST|5a:d1:06:58:29:ba|5a:d1:06:58:29:ba|-91|
Sep  5, 2018 18:10:05.125468773 CEST|LgElectr_ec:fa:d0|78:f8:82:ec:fa:d0|-82|
Sep  5, 2018 18:10:05.166598274 CEST|LgElectr_ec:fa:d0|78:f8:82:ec:fa:d0|-79|
Sep  5, 2018 18:10:05.303611278 CEST|LgElectr_ec:fa:d0|78:f8:82:ec:fa:d0|-80|
Sep  5, 2018 18:10:05.575382478 CEST|SamsungE_e8:17:f6|98:52:b1:e8:17:f6|-64|
Sep  5, 2018 18:10:05.612558143 CEST|SamsungE_e8:17:f6|98:52:b1:e8:17:f6|-68|
Sep  5, 2018 18:10:07.002899814 CEST|Google_e2:72:96|da:a1:19:e2:72:96|-88|
Sep  5, 2018 18:10:07.043022187 CEST|Google_e2:72:96|da:a1:19:e2:72:96|-90|
Sep  5, 2018 18:10:07.168670264 CEST|6a:c1:61:a7:41:ea|6a:c1:61:a7:41:ea|-83|
Sep  5, 2018 18:10:07.806730042 CEST|36:da:3e:77:90:70|36:da:3e:77:90:70|-93|
Sep  5, 2018 18:10:07.893854067 CEST|IntelCor_54:79:be|e8:2a:ea:54:79:be|-70|
Sep  5, 2018 18:10:07.918232026 CEST|IntelCor_54:79:be|e8:2a:ea:54:79:be|-69|
Sep  5, 2018 18:10:08.060955421 CEST|8a:e1:70:e4:80:fb|8a:e1:70:e4:80:fb|-77|
Sep  5, 2018 18:10:08.200197484 CEST|SamsungE_33:7b:ce|30:07:4d:33:7b:ce|-77|
Sep  5, 2018 18:10:08.240067785 CEST|SamsungE_33:7b:ce|30:07:4d:33:7b:ce|-86|
Sep  5, 2018 18:10:08.255556665 CEST|ee:28:b4:75:38:b0|ee:28:b4:75:38:b0|-93|
Sep  5, 2018 18:10:08.295378515 CEST|SamsungE_33:7b:ce|30:07:4d:33:7b:ce|-81|
Sep  5, 2018 18:10:08.328957558 CEST|SamsungE_33:7b:ce|30:07:4d:33:7b:ce|-82|
Sep  5, 2018 18:10:08.592551806 CEST|d6:2c:55:e4:b5:75|d6:2c:55:e4:b5:75|-86|
Sep  5, 2018 18:10:08.612785945 CEST|d6:2c:55:e4:b5:75|d6:2c:55:e4:b5:75|-86|
Sep  5, 2018 18:10:08.914096778 CEST|HuaweiTe_ce:62:e6|d4:a1:48:ce:62:e6|-94|
Sep  5, 2018 18:10:08.919639483 CEST|HuaweiTe_ce:62:e6|d4:a1:48:ce:62:e6|-93|
Sep  5, 2018 18:10:08.934181144 CEST|16:37:b2:5a:c3:80|16:37:b2:5a:c3:80|-46|
Sep  5, 2018 18:10:09.093117512 CEST|HuaweiTe_df:a1:6b|14:a5:1a:df:a1:6b|-62|
Sep  5, 2018 18:10:09.111744089 CEST|HuaweiTe_df:a1:6b|14:a5:1a:df:a1:6b|-63|
Sep  5, 2018 18:10:09.132759101 CEST|HuaweiTe_df:a1:6b|14:a5:1a:df:a1:6b|-69|
Sep  5, 2018 18:10:09.156327451 CEST|HuaweiTe_df:a1:6b|14:a5:1a:df:a1:6b|-72|
Sep  5, 2018 18:10:09.241198710 CEST|a2:aa:fb:f9:b3:f0|a2:aa:fb:f9:b3:f0|-63|
Sep  5, 2018 18:10:09.261861000 CEST|a2:aa:fb:f9:b3:f0|a2:aa:fb:f9:b3:f0|-63|
Sep  5, 2018 18:10:09.285493548 CEST|a2:aa:fb:f9:b3:f0|a2:aa:fb:f9:b3:f0|-65|
Sep  5, 2018 18:10:09.305975514 CEST|a2:aa:fb:f9:b3:f0|a2:aa:fb:f9:b3:f0|-65|
Sep  5, 2018 18:10:10.102296707 CEST|7e:f2:8f:24:01:62|7e:f2:8f:24:01:62|-50|
Sep  5, 2018 18:10:10.119347253 CEST|7e:f2:8f:24:01:62|7e:f2:8f:24:01:62|-49|
Sep  5, 2018 18:10:10.173537654 CEST|LgElectr_ec:fa:d0|78:f8:82:ec:fa:d0|-83|
Sep  5, 2018 18:10:10.341590189 CEST|66:af:5d:ba:c7:57|66:af:5d:ba:c7:57|-85|
Sep  5, 2018 18:10:10.363701186 CEST|66:af:5d:ba:c7:57|66:af:5d:ba:c7:57|-83|
Sep  5, 2018 18:10:10.401784313 CEST|SamsungE_2a:ca:48|80:57:19:2a:ca:48|-54|
Sep  5, 2018 18:10:10.423867254 CEST|SamsungE_2a:ca:48|80:57:19:2a:ca:48|-54|
Sep  5, 2018 18:10:10.455511663 CEST|SamsungE_2a:ca:48|80:57:19:2a:ca:48|-56|
Sep  5, 2018 18:10:10.495609656 CEST|SamsungE_2a:ca:48|80:57:19:2a:ca:48|-55|
Sep  5, 2018 18:10:10.525306757 CEST|SamsungE_2a:ca:48|80:57:19:2a:ca:48|-55|
Sep  5, 2018 18:10:10.554332565 CEST|SamsungE_2a:ca:48|80:57:19:2a:ca:48|-55|
Sep  5, 2018 18:10:10.586461993 CEST|SamsungE_2a:ca:48|80:57:19:2a:ca:48|-54|
Sep  5, 2018 18:10:10.617065339 CEST|SamsungE_2a:ca:48|80:57:19:2a:ca:48|-53|
Sep  5, 2018 18:10:10.736784228 CEST|d6:16:53:3f:6f:e9|d6:16:53:3f:6f:e9|-80|
Sep  5, 2018 18:10:10.757374291 CEST|d6:16:53:3f:6f:e9|d6:16:53:3f:6f:e9|-86|
Sep  5, 2018 18:10:10.781344255 CEST|d6:16:53:3f:6f:e9|d6:16:53:3f:6f:e9|-79|
Sep  5, 2018 18:10:10.801755864 CEST|d6:16:53:3f:6f:e9|d6:16:53:3f:6f:e9|-81|
Sep  5, 2018 18:10:11.622076875 CEST|Cisco_81:b4:f9|00:0f:8f:81:b4:f9|-90|DIS_371466_RTI_FYFARATR
Sep  5, 2018 18:10:11.658385099 CEST|Microsof_10:44:88|50:1a:c5:10:44:88|-68|
