Sep  5, 2018 15:42:02.387818270 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-61|Vodafone-33789655
Sep  5, 2018 15:42:02.388835613 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-58|PosteWiFi
Sep  5, 2018 15:42:02.401014189 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-59|Vodafone Casa
Sep  5, 2018 15:42:08.421780882 CEST|Apple_7c:ef:55|78:4f:43:7c:ef:55|-91|
Sep  5, 2018 15:42:08.436057835 CEST|Apple_7c:ef:55|78:4f:43:7c:ef:55|-92|
Sep  5, 2018 15:42:08.806150447 CEST|LgElectr_86:03:c2|f8:a9:d0:86:03:c2|-79|polimi
Sep  5, 2018 15:42:08.819214228 CEST|LgElectr_86:03:c2|f8:a9:d0:86:03:c2|-80|polimi
Sep  5, 2018 15:42:08.952180552 CEST|LgElectr_86:03:c2|f8:a9:d0:86:03:c2|-79|polimi
Sep  5, 2018 15:42:08.961402410 CEST|LgElectr_86:03:c2|f8:a9:d0:86:03:c2|-79|polimi
Sep  5, 2018 15:42:09.020596140 CEST|LgElectr_86:03:c2|f8:a9:d0:86:03:c2|-80|polimi
Sep  5, 2018 15:42:09.030899229 CEST|LgElectr_86:03:c2|f8:a9:d0:86:03:c2|-82|polimi
