Sep  5, 2018 18:07:07.759710298 CEST|7e:2d:85:c1:cd:a3|7e:2d:85:c1:cd:a3|-86|
Sep  5, 2018 18:07:07.815036635 CEST|IntelCor_54:79:be|e8:2a:ea:54:79:be|-63|
Sep  5, 2018 18:07:07.839510048 CEST|IntelCor_54:79:be|e8:2a:ea:54:79:be|-69|
Sep  5, 2018 18:07:07.983263310 CEST|02:89:bc:4c:22:1e|02:89:bc:4c:22:1e|-50|
Sep  5, 2018 18:07:08.005284288 CEST|02:89:bc:4c:22:1e|02:89:bc:4c:22:1e|-51|
Sep  5, 2018 18:07:08.026738352 CEST|02:89:bc:4c:22:1e|02:89:bc:4c:22:1e|-56|
Sep  5, 2018 18:07:08.037069215 CEST|ca:d9:db:68:19:2d|ca:d9:db:68:19:2d|-83|
Sep  5, 2018 18:07:08.494967363 CEST|e6:d0:37:71:c8:b2|e6:d0:37:71:c8:b2|-81|
Sep  5, 2018 18:07:08.514827838 CEST|e6:d0:37:71:c8:b2|e6:d0:37:71:c8:b2|-83|
Sep  5, 2018 18:07:08.626559301 CEST|Google_16:8e:4f|da:a1:19:16:8e:4f|-54|Jointly
Sep  5, 2018 18:07:08.627164094 CEST|Google_16:8e:4f|da:a1:19:16:8e:4f|-56|
Sep  5, 2018 18:07:08.685911841 CEST|Google_16:8e:4f|da:a1:19:16:8e:4f|-63|Jointly
Sep  5, 2018 18:07:08.688338594 CEST|Google_16:8e:4f|da:a1:19:16:8e:4f|-62|
Sep  5, 2018 18:07:08.705374421 CEST|Google_16:8e:4f|da:a1:19:16:8e:4f|-72|
Sep  5, 2018 18:07:08.733079637 CEST|AsustekC_ac:8e:c5|70:4d:7b:ac:8e:c5|-74|
Sep  5, 2018 18:07:08.736383805 CEST|AsustekC_ac:8e:c5|70:4d:7b:ac:8e:c5|-70|
Sep  5, 2018 18:07:08.784945196 CEST|AsustekC_ac:8e:c5|70:4d:7b:ac:8e:c5|-77|
Sep  5, 2018 18:07:09.014167364 CEST|36:43:1c:96:33:09|36:43:1c:96:33:09|-85|
Sep  5, 2018 18:07:09.037051468 CEST|36:43:1c:96:33:09|36:43:1c:96:33:09|-85|
Sep  5, 2018 18:07:09.205756836 CEST|5e:c2:26:69:0f:fa|5e:c2:26:69:0f:fa|-49|
Sep  5, 2018 18:07:09.230534409 CEST|5e:c2:26:69:0f:fa|5e:c2:26:69:0f:fa|-51|
Sep  5, 2018 18:07:10.089740091 CEST|AsustekC_ac:8e:c5|70:4d:7b:ac:8e:c5|-73|
Sep  5, 2018 18:07:10.096689379 CEST|AsustekC_ac:8e:c5|70:4d:7b:ac:8e:c5|-74|
Sep  5, 2018 18:07:10.144384001 CEST|AsustekC_ac:8e:c5|70:4d:7b:ac:8e:c5|-75|
Sep  5, 2018 18:07:10.146159070 CEST|AsustekC_ac:8e:c5|70:4d:7b:ac:8e:c5|-75|
Sep  5, 2018 18:07:10.601445260 CEST|0e:61:d3:25:51:13|0e:61:d3:25:51:13|-80|
Sep  5, 2018 18:07:10.620823572 CEST|0e:61:d3:25:51:13|0e:61:d3:25:51:13|-79|
Sep  5, 2018 18:07:10.857461148 CEST|c6:06:de:b1:0b:0d|c6:06:de:b1:0b:0d|-81|
Sep  5, 2018 18:07:10.876881425 CEST|c6:06:de:b1:0b:0d|c6:06:de:b1:0b:0d|-82|
Sep  5, 2018 18:07:10.925001045 CEST|c6:06:de:b1:0b:0d|c6:06:de:b1:0b:0d|-82|
Sep  5, 2018 18:07:11.040038462 CEST|02:fc:55:d9:c4:a8|02:fc:55:d9:c4:a8|-81|
Sep  5, 2018 18:07:11.538709328 CEST|66:0d:79:31:b1:e7|66:0d:79:31:b1:e7|-45|
Sep  5, 2018 18:07:11.559030909 CEST|66:0d:79:31:b1:e7|66:0d:79:31:b1:e7|-41|
Sep  5, 2018 18:07:11.580935126 CEST|66:0d:79:31:b1:e7|66:0d:79:31:b1:e7|-45|
Sep  5, 2018 18:07:11.603680189 CEST|66:0d:79:31:b1:e7|66:0d:79:31:b1:e7|-44|
Sep  5, 2018 18:07:11.611477097 CEST|fa:fe:dc:b0:1e:65|fa:fe:dc:b0:1e:65|-81|
Sep  5, 2018 18:07:11.726039606 CEST|e6:b1:d7:7f:9b:00|e6:b1:d7:7f:9b:00|-76|
Sep  5, 2018 18:07:11.748292233 CEST|e6:b1:d7:7f:9b:00|e6:b1:d7:7f:9b:00|-73|
Sep  5, 2018 18:07:12.264422985 CEST|82:52:8a:87:01:d5|82:52:8a:87:01:d5|-93|
Sep  5, 2018 18:07:12.498975535 CEST|7e:72:ac:69:3b:33|7e:72:ac:69:3b:33|-53|
Sep  5, 2018 18:07:12.542159470 CEST|7e:72:ac:69:3b:33|7e:72:ac:69:3b:33|-56|
Sep  5, 2018 18:07:13.073096635 CEST|02:db:4b:73:8d:86|02:db:4b:73:8d:86|-84|
Sep  5, 2018 18:07:13.096635184 CEST|LiteonTe_7f:33:25|cc:b0:da:7f:33:25|-92|
Sep  5, 2018 18:07:13.114530291 CEST|02:db:4b:73:8d:86|02:db:4b:73:8d:86|-86|
Sep  5, 2018 18:07:13.117929127 CEST|Apple_c2:c3:2b|54:ea:a8:c2:c3:2b|-83|
Sep  5, 2018 18:07:13.160016563 CEST|02:db:4b:73:8d:86|02:db:4b:73:8d:86|-84|
Sep  5, 2018 18:07:13.173842161 CEST|1a:41:e9:40:07:ef|1a:41:e9:40:07:ef|-90|
Sep  5, 2018 18:07:13.176924376 CEST|AmazonTe_b3:6c:70|6c:56:97:b3:6c:70|-55|
Sep  5, 2018 18:07:13.188054664 CEST|AmazonTe_b3:6c:70|6c:56:97:b3:6c:70|-51|
Sep  5, 2018 18:07:13.193898847 CEST|1a:41:e9:40:07:ef|1a:41:e9:40:07:ef|-90|
Sep  5, 2018 18:07:13.200359271 CEST|AmazonTe_b3:6c:70|6c:56:97:b3:6c:70|-50|
Sep  5, 2018 18:07:13.210894884 CEST|AmazonTe_b3:6c:70|6c:56:97:b3:6c:70|-50|
Sep  5, 2018 18:07:13.220893893 CEST|AmazonTe_b3:6c:70|6c:56:97:b3:6c:70|-51|
Sep  5, 2018 18:07:13.231977856 CEST|AmazonTe_b3:6c:70|6c:56:97:b3:6c:70|-50|
Sep  5, 2018 18:07:13.249692482 CEST|AmazonTe_b3:6c:70|6c:56:97:b3:6c:70|-53|
Sep  5, 2018 18:07:13.260983632 CEST|AmazonTe_b3:6c:70|6c:56:97:b3:6c:70|-53|
Sep  5, 2018 18:07:13.269754770 CEST|AmazonTe_b3:6c:70|6c:56:97:b3:6c:70|-53|
Sep  5, 2018 18:07:13.282824995 CEST|AmazonTe_b3:6c:70|6c:56:97:b3:6c:70|-54|
Sep  5, 2018 18:07:13.291990637 CEST|AmazonTe_b3:6c:70|6c:56:97:b3:6c:70|-54|
Sep  5, 2018 18:07:13.348575627 CEST|SamsungE_97:94:ea|f0:5b:7b:97:94:ea|-84|47pwf7
Sep  5, 2018 18:07:13.350381228 CEST|SamsungE_97:94:ea|f0:5b:7b:97:94:ea|-88|
Sep  5, 2018 18:07:13.389203684 CEST|SamsungE_97:94:ea|f0:5b:7b:97:94:ea|-94|47pwf7
Sep  5, 2018 18:07:13.391293248 CEST|SamsungE_97:94:ea|f0:5b:7b:97:94:ea|-92|
Sep  5, 2018 18:07:13.400326246 CEST|HuaweiTe_e6:95:5b|84:9f:b5:e6:95:5b|-75|
Sep  5, 2018 18:07:13.433691179 CEST|SamsungE_97:94:ea|f0:5b:7b:97:94:ea|-90|
Sep  5, 2018 18:07:13.751494521 CEST|LiteonTe_7f:33:25|cc:b0:da:7f:33:25|-90|
Sep  5, 2018 18:07:13.953020976 CEST|SamsungE_e8:17:f6|98:52:b1:e8:17:f6|-63|
Sep  5, 2018 18:07:13.999115857 CEST|SamsungE_e8:17:f6|98:52:b1:e8:17:f6|-69|
Sep  5, 2018 18:07:14.166327465 CEST|Cisco_81:b4:f9|00:0f:8f:81:b4:f9|-91|DIS_371466_RTI_FYFARATR
Sep  5, 2018 18:07:14.306044521 CEST|Cisco_81:b4:f9|00:0f:8f:81:b4:f9|-84|DIS_371466_RTI_FYFARATR
Sep  5, 2018 18:07:14.524432625 CEST|Microsof_1c:82:4c|a4:51:6f:1c:82:4c|-69|ISPMobile
Sep  5, 2018 18:07:14.533059326 CEST|Microsof_1c:82:4c|a4:51:6f:1c:82:4c|-70|ISPMobile
Sep  5, 2018 18:07:14.547898573 CEST|SamsungE_fe:99:ef|5c:51:81:fe:99:ef|-70|
Sep  5, 2018 18:07:14.590048467 CEST|SamsungE_fe:99:ef|5c:51:81:fe:99:ef|-69|
Sep  5, 2018 18:07:14.631389126 CEST|SamsungE_fe:99:ef|5c:51:81:fe:99:ef|-70|
Sep  5, 2018 18:07:14.790728490 CEST|SamsungE_88:ee:c8|bc:54:51:88:ee:c8|-63|
Sep  5, 2018 18:07:14.799718372 CEST|Microsof_1c:82:4c|a4:51:6f:1c:82:4c|-71|ISPMobile
Sep  5, 2018 18:07:14.819622413 CEST|Microsof_1c:82:4c|a4:51:6f:1c:82:4c|-70|ISPMobile
Sep  5, 2018 18:07:14.825970949 CEST|SamsungE_88:ee:c8|bc:54:51:88:ee:c8|-65|
Sep  5, 2018 18:07:14.855603780 CEST|ee:77:61:06:84:c4|ee:77:61:06:84:c4|-81|
Sep  5, 2018 18:07:14.895811073 CEST|Microsof_1c:82:4c|a4:51:6f:1c:82:4c|-67|ISPMobile
Sep  5, 2018 18:07:14.896461022 CEST|Microsof_1c:82:4c|a4:51:6f:1c:82:4c|-68|
Sep  5, 2018 18:07:14.906376687 CEST|SamsungE_88:ee:c8|bc:54:51:88:ee:c8|-66|
Sep  5, 2018 18:07:14.919788032 CEST|Microsof_1c:82:4c|a4:51:6f:1c:82:4c|-67|ISPMobile
Sep  5, 2018 18:07:14.921649578 CEST|Microsof_1c:82:4c|a4:51:6f:1c:82:4c|-69|
Sep  5, 2018 18:07:15.080535094 CEST|SamsungE_64:d0:d1|ec:10:7b:64:d0:d1|-80|ISPMobile
Sep  5, 2018 18:07:15.081624780 CEST|SamsungE_64:d0:d1|ec:10:7b:64:d0:d1|-80|
Sep  5, 2018 18:07:15.110357226 CEST|SamsungE_64:d0:d1|ec:10:7b:64:d0:d1|-88|ISPMobile
Sep  5, 2018 18:07:15.111480435 CEST|SamsungE_64:d0:d1|ec:10:7b:64:d0:d1|-84|
Sep  5, 2018 18:07:15.186250460 CEST|Microsof_1c:82:4c|a4:51:6f:1c:82:4c|-76|ISPMobile
Sep  5, 2018 18:07:15.187311161 CEST|Microsof_1c:82:4c|a4:51:6f:1c:82:4c|-75|
Sep  5, 2018 18:07:15.330453069 CEST|62:be:4f:bc:e8:85|62:be:4f:bc:e8:85|-62|
Sep  5, 2018 18:07:15.352515902 CEST|62:be:4f:bc:e8:85|62:be:4f:bc:e8:85|-61|
Sep  5, 2018 18:07:15.375633216 CEST|62:be:4f:bc:e8:85|62:be:4f:bc:e8:85|-63|
Sep  5, 2018 18:07:15.396422519 CEST|62:be:4f:bc:e8:85|62:be:4f:bc:e8:85|-62|
Sep  5, 2018 18:07:15.590200231 CEST|96:e9:62:7b:8c:32|96:e9:62:7b:8c:32|-84|
Sep  5, 2018 18:07:15.591337157 CEST|96:e9:62:7b:8c:32|96:e9:62:7b:8c:32|-85|
Sep  5, 2018 18:07:15.608818673 CEST|96:e9:62:7b:8c:32|96:e9:62:7b:8c:32|-86|
Sep  5, 2018 18:07:15.629108774 CEST|96:e9:62:7b:8c:32|96:e9:62:7b:8c:32|-84|
Sep  5, 2018 18:07:15.890532060 CEST|d6:50:62:68:32:e3|d6:50:62:68:32:e3|-47|
Sep  5, 2018 18:07:15.904006927 CEST|d6:50:62:68:32:e3|d6:50:62:68:32:e3|-45|
Sep  5, 2018 18:07:15.925858807 CEST|d6:50:62:68:32:e3|d6:50:62:68:32:e3|-47|
Sep  5, 2018 18:07:15.946809907 CEST|d6:50:62:68:32:e3|d6:50:62:68:32:e3|-46|
Sep  5, 2018 18:07:15.964907507 CEST|2e:4b:d6:f6:28:b6|2e:4b:d6:f6:28:b6|-74|
Sep  5, 2018 18:07:15.987274291 CEST|2e:4b:d6:f6:28:b6|2e:4b:d6:f6:28:b6|-73|
Sep  5, 2018 18:07:16.019418758 CEST|HuaweiTe_e6:95:5b|84:9f:b5:e6:95:5b|-78|
Sep  5, 2018 18:07:16.029819732 CEST|2e:4b:d6:f6:28:b6|2e:4b:d6:f6:28:b6|-81|
Sep  5, 2018 18:07:16.041339261 CEST|HuaweiTe_e6:95:5b|84:9f:b5:e6:95:5b|-79|
Sep  5, 2018 18:07:16.120076743 CEST|HuaweiTe_5a:fe:e4|e0:a3:ac:5a:fe:e4|-73|
Sep  5, 2018 18:07:16.139351120 CEST|HuaweiTe_5a:fe:e4|e0:a3:ac:5a:fe:e4|-73|
Sep  5, 2018 18:07:16.161477181 CEST|HuaweiTe_5a:fe:e4|e0:a3:ac:5a:fe:e4|-71|
Sep  5, 2018 18:07:16.179402159 CEST|HuaweiTe_5a:fe:e4|e0:a3:ac:5a:fe:e4|-70|
Sep  5, 2018 18:07:16.782774518 CEST|76:8e:ec:e1:1d:14|76:8e:ec:e1:1d:14|-90|
Sep  5, 2018 18:07:17.118760723 CEST|Google_d6:76:d8|da:a1:19:d6:76:d8|-86|Telecom-66857315
Sep  5, 2018 18:07:17.119926596 CEST|Google_d6:76:d8|da:a1:19:d6:76:d8|-81|
Sep  5, 2018 18:07:17.140127931 CEST|Google_d6:76:d8|da:a1:19:d6:76:d8|-79|Telecom-66857315
Sep  5, 2018 18:07:17.141247861 CEST|Google_d6:76:d8|da:a1:19:d6:76:d8|-81|
