Sep  5, 2018 18:06:08.797587063 CEST|fe:8f:8b:e6:3f:bc|fe:8f:8b:e6:3f:bc|-75|
Sep  5, 2018 18:06:09.010966048 CEST|Google_cb:38:8a|da:a1:19:cb:38:8a|-96|
Sep  5, 2018 18:06:09.030963730 CEST|Google_cb:38:8a|da:a1:19:cb:38:8a|-91|
Sep  5, 2018 18:06:09.116838216 CEST|HuaweiTe_0e:59:1a|24:00:ba:0e:59:1a|-48|
Sep  5, 2018 18:06:09.153803454 CEST|aa:8d:c8:d2:c2:3e|aa:8d:c8:d2:c2:3e|-47|
Sep  5, 2018 18:06:09.158373362 CEST|HuaweiTe_0e:59:1a|24:00:ba:0e:59:1a|-53|
Sep  5, 2018 18:06:09.171545710 CEST|aa:8d:c8:d2:c2:3e|aa:8d:c8:d2:c2:3e|-49|
Sep  5, 2018 18:06:09.348632389 CEST|ce:1b:6f:f2:37:f1|ce:1b:6f:f2:37:f1|-83|
Sep  5, 2018 18:06:09.368960831 CEST|ce:1b:6f:f2:37:f1|ce:1b:6f:f2:37:f1|-83|
Sep  5, 2018 18:06:09.626103886 CEST|5a:b3:3d:62:96:be|5a:b3:3d:62:96:be|-75|
Sep  5, 2018 18:06:09.681013165 CEST|5a:b3:3d:62:96:be|5a:b3:3d:62:96:be|-75|
Sep  5, 2018 18:06:09.909900093 CEST|06:8d:82:a8:49:ac|06:8d:82:a8:49:ac|-81|
Sep  5, 2018 18:06:09.930151385 CEST|06:8d:82:a8:49:ac|06:8d:82:a8:49:ac|-94|
Sep  5, 2018 18:06:09.971327514 CEST|06:8d:82:a8:49:ac|06:8d:82:a8:49:ac|-91|
Sep  5, 2018 18:06:10.014010462 CEST|SamsungE_2a:ca:48|80:57:19:2a:ca:48|-54|
Sep  5, 2018 18:06:10.033026179 CEST|be:8d:08:e5:92:a7|be:8d:08:e5:92:a7|-82|
Sep  5, 2018 18:06:10.037985920 CEST|SamsungE_2a:ca:48|80:57:19:2a:ca:48|-55|
Sep  5, 2018 18:06:10.056978414 CEST|be:8d:08:e5:92:a7|be:8d:08:e5:92:a7|-81|
Sep  5, 2018 18:06:10.066120358 CEST|SamsungE_2a:ca:48|80:57:19:2a:ca:48|-54|
Sep  5, 2018 18:06:10.104544653 CEST|SamsungE_2a:ca:48|80:57:19:2a:ca:48|-59|
Sep  5, 2018 18:06:10.127767123 CEST|SamsungE_2a:ca:48|80:57:19:2a:ca:48|-59|
Sep  5, 2018 18:06:10.195572362 CEST|SamsungE_2a:ca:48|80:57:19:2a:ca:48|-66|
Sep  5, 2018 18:06:10.200020281 CEST|22:fc:ed:a1:bc:db|22:fc:ed:a1:bc:db|-78|
Sep  5, 2018 18:06:10.219076337 CEST|22:fc:ed:a1:bc:db|22:fc:ed:a1:bc:db|-76|
Sep  5, 2018 18:06:10.594247441 CEST|AmazonTe_b3:6c:70|6c:56:97:b3:6c:70|-49|
Sep  5, 2018 18:06:10.602876254 CEST|AmazonTe_b3:6c:70|6c:56:97:b3:6c:70|-45|
Sep  5, 2018 18:06:10.615693065 CEST|AmazonTe_b3:6c:70|6c:56:97:b3:6c:70|-46|
Sep  5, 2018 18:06:10.624912587 CEST|AmazonTe_b3:6c:70|6c:56:97:b3:6c:70|-47|
Sep  5, 2018 18:06:10.636602739 CEST|AmazonTe_b3:6c:70|6c:56:97:b3:6c:70|-45|
Sep  5, 2018 18:06:10.648947108 CEST|AmazonTe_b3:6c:70|6c:56:97:b3:6c:70|-45|
Sep  5, 2018 18:06:10.654628123 CEST|AmazonTe_b3:6c:70|6c:56:97:b3:6c:70|-49|
Sep  5, 2018 18:06:10.666029010 CEST|AmazonTe_b3:6c:70|6c:56:97:b3:6c:70|-49|
Sep  5, 2018 18:06:10.680105750 CEST|AmazonTe_b3:6c:70|6c:56:97:b3:6c:70|-48|
Sep  5, 2018 18:06:10.688467749 CEST|AmazonTe_b3:6c:70|6c:56:97:b3:6c:70|-49|
Sep  5, 2018 18:06:10.699874516 CEST|AmazonTe_b3:6c:70|6c:56:97:b3:6c:70|-49|
Sep  5, 2018 18:06:10.710331948 CEST|AmazonTe_b3:6c:70|6c:56:97:b3:6c:70|-49|
Sep  5, 2018 18:06:10.747132649 CEST|AmazonTe_b3:6c:70|6c:56:97:b3:6c:70|-58|
Sep  5, 2018 18:06:10.757807814 CEST|AmazonTe_b3:6c:70|6c:56:97:b3:6c:70|-58|
Sep  5, 2018 18:06:12.066860502 CEST|f2:74:8f:2a:75:d2|f2:74:8f:2a:75:d2|-91|
Sep  5, 2018 18:06:12.090341350 CEST|f2:74:8f:2a:75:d2|f2:74:8f:2a:75:d2|-89|
Sep  5, 2018 18:06:12.143336494 CEST|SamsungE_e8:17:f6|98:52:b1:e8:17:f6|-64|
Sep  5, 2018 18:06:12.206572808 CEST|SamsungE_88:9d:c5|8c:1a:bf:88:9d:c5|-41|
Sep  5, 2018 18:06:12.235937350 CEST|SamsungE_e8:17:f6|98:52:b1:e8:17:f6|-76|
Sep  5, 2018 18:06:12.246202822 CEST|SamsungE_88:9d:c5|8c:1a:bf:88:9d:c5|-41|
Sep  5, 2018 18:06:12.267649266 CEST|6a:2c:95:e0:15:7f|6a:2c:95:e0:15:7f|-89|
Sep  5, 2018 18:06:12.330590359 CEST|SamsungE_88:9d:c5|8c:1a:bf:88:9d:c5|-45|
Sep  5, 2018 18:06:13.027945002 CEST|7e:b7:f5:0a:b3:8a|7e:b7:f5:0a:b3:8a|-94|
Sep  5, 2018 18:06:13.079149954 CEST|SamsungE_09:9c:78|2c:0e:3d:09:9c:78|-93|speedcat
Sep  5, 2018 18:06:13.080190226 CEST|SamsungE_09:9c:78|2c:0e:3d:09:9c:78|-90|
Sep  5, 2018 18:06:13.404471082 CEST|LiteonTe_7f:33:25|cc:b0:da:7f:33:25|-91|
Sep  5, 2018 18:06:13.902553756 CEST|c6:10:5d:85:10:6a|c6:10:5d:85:10:6a|-76|
Sep  5, 2018 18:06:13.922896459 CEST|c6:10:5d:85:10:6a|c6:10:5d:85:10:6a|-79|
Sep  5, 2018 18:06:13.942595277 CEST|c6:10:5d:85:10:6a|c6:10:5d:85:10:6a|-78|
Sep  5, 2018 18:06:13.963548526 CEST|c6:10:5d:85:10:6a|c6:10:5d:85:10:6a|-82|
Sep  5, 2018 18:06:13.995925513 CEST|de:f9:71:d3:df:c9|de:f9:71:d3:df:c9|-81|
Sep  5, 2018 18:06:14.009751592 CEST|de:f9:71:d3:df:c9|de:f9:71:d3:df:c9|-90|
Sep  5, 2018 18:06:14.032359975 CEST|de:f9:71:d3:df:c9|de:f9:71:d3:df:c9|-81|
Sep  5, 2018 18:06:14.051906574 CEST|de:f9:71:d3:df:c9|de:f9:71:d3:df:c9|-85|
Sep  5, 2018 18:06:14.161940752 CEST|LgElectr_ec:fa:d0|78:f8:82:ec:fa:d0|-82|
Sep  5, 2018 18:06:14.204047292 CEST|LgElectr_ec:fa:d0|78:f8:82:ec:fa:d0|-82|
Sep  5, 2018 18:06:14.248671071 CEST|LgElectr_ec:fa:d0|78:f8:82:ec:fa:d0|-80|
