Sep  5, 2018 15:35:58.848175800 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-58|Fasteweb-Casa
Sep  5, 2018 15:35:58.850537267 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-60|FASTWEB-1-nYDGBB3X7wkN
Sep  5, 2018 15:35:58.852429227 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-60|Pc-Gio
Sep  5, 2018 15:35:58.858461950 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-58|Lola3
Sep  5, 2018 15:35:58.860611513 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-60|TIM-78652545
Sep  5, 2018 15:35:58.862986329 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-61|Vodafone-33789655
Sep  5, 2018 15:35:58.865343682 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-56|PosteWiFi
Sep  5, 2018 15:35:59.784354081 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-65|VodafoneCasa
Sep  5, 2018 15:35:59.787883462 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-67|G3_1743
Sep  5, 2018 15:35:59.790264021 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-62|Limonetwork 5 GHz
Sep  5, 2018 15:35:59.792656593 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-63|szivutca_2
Sep  5, 2018 15:35:59.794823226 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-63|Fasteweb-Casa
Sep  5, 2018 15:35:59.799528769 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-63|Pc-Gio
Sep  5, 2018 15:36:00.535649815 CEST|SamsungE_ad:f6:69|30:07:4d:ad:f6:69|-82|
Sep  5, 2018 15:36:00.657482092 CEST|SamsungE_ad:f6:69|30:07:4d:ad:f6:69|-84|
Sep  5, 2018 15:36:04.312610408 CEST|Apple_22:77:5d|64:70:33:22:77:5d|-67|wlan_saltuaria
Sep  5, 2018 15:36:04.327576304 CEST|Apple_22:77:5d|64:70:33:22:77:5d|-66|wlan_saltuaria
Sep  5, 2018 15:36:08.399591998 CEST|LgElectr_91:09:5b|00:34:da:91:09:5b|-78|T-MobileZone
Sep  5, 2018 15:36:08.404399459 CEST|LgElectr_91:09:5b|00:34:da:91:09:5b|-78|
