Sep  5, 2018 15:55:01.571568244 CEST|AsustekC_03:ad:0c|d0:17:c2:03:ad:0c|-82|
Sep  5, 2018 15:55:05.220876312 CEST|Apple_70:cd:b9|38:ca:da:70:cd:b9|-91|polimi-protected
Sep  5, 2018 15:55:08.037706416 CEST|Apple_ec:56:87|40:9c:28:ec:56:87|-92|wlan_saltuaria
Sep  5, 2018 15:55:09.075365968 CEST|02:8d:cf:b8:0a:ae|02:8d:cf:b8:0a:ae|-73|
Sep  5, 2018 15:55:09.134410112 CEST|Apple_a9:03:26|b0:70:2d:a9:03:26|-61|
Sep  5, 2018 15:55:09.202579674 CEST|3a:fd:4f:63:c2:5d|3a:fd:4f:63:c2:5d|-78|
Sep  5, 2018 15:55:09.223385692 CEST|3a:fd:4f:63:c2:5d|3a:fd:4f:63:c2:5d|-81|
Sep  5, 2018 15:55:09.250210833 CEST|3a:fd:4f:63:c2:5d|3a:fd:4f:63:c2:5d|-78|
Sep  5, 2018 15:55:09.270797019 CEST|3a:fd:4f:63:c2:5d|3a:fd:4f:63:c2:5d|-74|
Sep  5, 2018 15:55:11.896809316 CEST|ca:db:cb:e6:5a:eb|ca:db:cb:e6:5a:eb|-71|
Sep  5, 2018 15:55:11.942879119 CEST|ca:db:cb:e6:5a:eb|ca:db:cb:e6:5a:eb|-75|
Sep  5, 2018 15:55:12.984684111 CEST|76:31:1a:dd:07:a4|76:31:1a:dd:07:a4|-78|
Sep  5, 2018 15:55:13.035590570 CEST|76:31:1a:dd:07:a4|76:31:1a:dd:07:a4|-76|
