Sep  5, 2018 15:33:58.992575561 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-64|Vodafone Casa
Sep  5, 2018 15:33:58.999660462 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-79|G3_1743
Sep  5, 2018 15:33:59.016633169 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-78|Lola3
Sep  5, 2018 15:33:59.025468708 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-78|Vodafone-33789655
Sep  5, 2018 15:33:59.206891612 CEST|12:0a:2a:53:5a:3e|12:0a:2a:53:5a:3e|-86|
Sep  5, 2018 15:33:59.288600417 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-61|G3_1743
Sep  5, 2018 15:33:59.305047473 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-59|FASTWEB-1-nYDGBB3X7wkN
Sep  5, 2018 15:33:59.307502329 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-59|Pc-Gio
Sep  5, 2018 15:33:59.313020699 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-65|Lola3
Sep  5, 2018 15:33:59.315382985 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-62|TIM-78652545
Sep  5, 2018 15:33:59.315384789 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-56|Vodafone-33789655
Sep  5, 2018 15:33:59.315386748 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-58|PosteWiFi
Sep  5, 2018 15:33:59.321425412 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-57|TNCAP40E275
Sep  5, 2018 15:33:59.322399261 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-67|Vodafone Casa
Sep  5, 2018 15:34:00.246100404 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-65|VodafoneCasa
Sep  5, 2018 15:34:00.246110818 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-62|G3_1743
Sep  5, 2018 15:34:00.251352506 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-64|FASTWEB-1-nYDGBB3X7wkN
Sep  5, 2018 15:34:00.253656795 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-62|Pc-Gio
Sep  5, 2018 15:34:00.255666761 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-62|Lola3
Sep  5, 2018 15:34:00.258511884 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-61|TIM-78652545
Sep  5, 2018 15:34:00.264800078 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-61|PosteWiFi
Sep  5, 2018 15:34:00.264822666 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-61|TNCAP40E275
Sep  5, 2018 15:34:00.264824855 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-62|Vodafone Casa
Sep  5, 2018 15:34:00.613500889 CEST|Apple_39:97:4e|88:e9:fe:39:97:4e|-89|polimi-protected
Sep  5, 2018 15:34:00.833121742 CEST|Apple_39:97:4e|88:e9:fe:39:97:4e|-90|polimi-protected
Sep  5, 2018 15:34:02.072102581 CEST|82:e9:84:4d:84:f5|82:e9:84:4d:84:f5|-80|
Sep  5, 2018 15:34:08.311540260 CEST|7e:83:59:bb:26:da|7e:83:59:bb:26:da|-91|
